;01;04;07;10;13;16;19;22;25;28;31;34;37;40;43;46;49;52;55;58
 21;0-1;2-0;3-1;3-0;2-0;3-0;2-0;4-1;1-2;2-2;1-2;0-0;0-1;0-3;1-2;3-0;3-1;1-4;1-2;4-3
 20;1-3;0-3;1-2;1-0;1-1;2-3;2-0;1-1;2-2;1-1;0-0;0-1;0-0;1-0;2-2;0-1;3-1;2-1;1-1;2-0
 19;1-2;1-0;0-1;1-1;2-1;5+-0;0-0;4-0;3-2;2-0;1-0;3-2;1-2;1-2;1-5+;1-0;3-1;0-1;2-0;1-0
 18;0-1;1-0;2-1;2-2;1-2;1-0;1-5+;2-0;1-2;1-1;0-0;0-4;1-0;1-2;1-2;2-2;0-0;2-0;1-1;2-2
 17;2-2;2-2;2-1;0-2;1-0;2-1;2-0;0-3;3-2;1-1;1-2;0-0;3-1;2-4;0-2;0-2;0-0;2-0;0-2;3-2
 16;0-2;2-2;0-2;1-1;3-1;1-1;2-1;1-0;3-2;2-1;0-1;1-2;0-0;0-1;0-1;4-1;5+-1;0-2;1-0;0-1
 15;0-1;2-2;1-0;1-2;0-2;4-4;2-3;1-1;3-1;1-0;1-1;0-5+;2-3;0-2;1-0;2-0;0-1;1-2;0-0;2-0
 14;2-2;1-2;0-1;2-2;1-0;0-3;1-2;1-3;2-2;1-1;0-1;2-0;2-0;3-0;1-2;1-1;4-0;0-1;1-2;0-3
 13;1-1;1-1;2-1;0-2;3-2;0-0;0-3;1-2;0-0;2-1;1-1;4-1;0-0;3-0;1-0;3-2;0-0;0-1;0-1;0-2
 12;0-0;0-1;3-1;2-0;0-1;2-2;1-1;2-1;2-1;2-2;0-2;2-0;0-1;1-0;0-0;0-0;0-0;3-1;2-2;1-0
 11;0-0;2-1;3-0;0-0;2-1;3-4;1-2;2-0;2-0;0-0;0-1;1-1;3-0;4-0;0-1;3-2;0-1;2-2;1-3;2-1
 10;0-2;1-1;1-0;0-3;0-0;1-3;3-0;2-2;0-1;0-0;1-2;0-1;2-1;0-0;3-0;2-1;1-5+;1-1;2-0;3-0
