%;43;45;41;48;40;39;42;38;44;45;43;45;35;32;36;38;47;42;53;30;%
;49%;52%;48%;56%;47%;46%;49%;45%;52%;53%;51%;52%;41%;37%;42%;44%;55%;49%;62%;35%;
 00;2-0;1-1;0-0;1-0;0-1;1-2;2-1;1-0;1-3;2-1;1-1;2-0;2-3;1-1;1-3;0-1;2-1;2-1;0-0;0-3;(45%)
 23;2-0;2-3;2-5+;1-1;4-1;2-0;1-1;4-1;0-2;1-3;0-0;1-1;1-0;1-0;1-1;1-1;1-1;0-1;1-3;2-1;(60%)
 22;0-3;0-3;2-1;1-0;1-1;1-3;0-2;0-3;0-2;0-0;0-0;2-2;1-0;4-1;1-0;0-1;1-4;0-1;0-0;4-1;(40%)
 21;0-1;2-0;3-1;3-0;2-0;3-0;2-0;4-1;1-2;2-2;1-2;0-0;0-1;0-3;1-2;3-0;3-1;1-4;1-2;4-3;(35%)
 20;1-3;0-3;1-2;1-0;1-1;2-3;2-0;1-1;2-2;1-1;0-0;0-1;0-0;1-0;2-2;0-1;3-1;2-1;1-1;2-0;(60%)
 19;1-2;1-0;0-1;1-1;2-1;5+-0;0-0;4-0;3-2;2-0;1-0;3-2;1-2;1-2;1-5+;1-0;3-1;0-1;2-0;1-0;(30%)
 18;0-1;1-0;2-1;2-2;1-2;1-0;1-5+;2-0;1-2;1-1;0-0;0-4;1-0;1-2;1-2;2-2;0-0;2-0;1-1;2-2;(50%)
 17;2-2;2-2;2-1;0-2;1-0;2-1;2-0;0-3;3-2;1-1;1-2;0-0;3-1;2-4;0-2;0-2;0-0;2-0;0-2;3-2;(60%)
 16;0-2;2-2;0-2;1-1;3-1;1-1;2-1;1-0;3-2;2-1;0-1;1-2;0-0;0-1;0-1;4-1;5+-1;0-2;1-0;0-1;(40%)
 15;0-1;2-2;1-0;1-2;0-2;4-4;2-3;1-1;3-1;1-0;1-1;0-5+;2-3;0-2;1-0;2-0;0-1;1-2;0-0;2-0;(45%)
 14;2-2;1-2;0-1;2-2;1-0;0-3;1-2;1-3;2-2;1-1;0-1;2-0;2-0;3-0;1-2;1-1;4-0;0-1;1-2;0-3;(45%)
 13;1-1;1-1;2-1;0-2;3-2;0-0;0-3;1-2;0-0;2-1;1-1;4-1;0-0;3-0;1-0;3-2;0-0;0-1;0-1;0-2;(45%)
 12;0-0;0-1;3-1;2-0;0-1;2-2;1-1;2-1;2-1;2-2;0-2;2-0;0-1;1-0;0-0;0-0;0-0;3-1;2-2;1-0;(65%)
 11;0-0;2-1;3-0;0-0;2-1;3-4;1-2;2-0;2-0;0-0;0-1;1-1;3-0;4-0;0-1;3-2;0-1;2-2;1-3;2-1;(45%)
 10;0-2;1-1;1-0;0-3;0-0;1-3;3-0;2-2;0-1;0-0;1-2;0-1;2-1;0-0;3-0;2-1;1-5+;1-1;2-0;3-0;(45%)
 09;0-0;1-1;0-0;3-0;1-0;3-0;0-0;1-2;1-2;2-2;2-2;1-3;0-1;0-1;1-2;1-4;2-0;1-1;1-0;0-0;(50%)
 08;1-3;2-0;0-0;0-1;2-1;3-1;1-3;3-1;2-2;1-1;2-3;1-3;0-1;0-1;2-2;1-0;0-3;2-1;2-0;0-0;(60%)
 07;2-1;2-0;0-3;3-0;1-1;4-1;0-3;2-2;1-3;0-3;2-3;1-0;1-0;2-5+;0-3;1-0;1-0;2-2;1-1;1-0;(30%)
 06;0-1;0-1;0-1;3-0;3-4;1-0;2-1;1-2;1-5+;0-0;0-3;1-0;3-0;0-2;1-1;1-2;1-0;1-0;0-0;3-0;(20%)
 05;2-0;0-0;1-3;2-0;2-1;2-0;1-3;0-2;1-1;1-2;2-0;2-0;0-5+;3-3;1-0;3-2;2-1;1-0;0-1;0-0;(55%)
 04;0-1;1-0;0-1;1-3;1-1;3-3;0-4;2-0;0-3;0-1;0-1;0-0;1-1;2-2;0-3;0-0;1-0;2-1;1-0;0-0;(45%)
 03;2-2;1-1;1-0;1-1;0-3;1-4;4-2;4-3;1-1;0-1;1-2;3-3;0-2;3-2;0-3;1-1;0-1;2-2;2-2;0-1;(40%)
 02;2-1;1-1;1-1;1-0;1-4;2-2;1-1;2-0;3-3;0-4;4-2;0-0;2-1;0-1;1-2;0-1;0-1;1-1;2-1;3-1;(45%)
 01;5+-3;1-3;4-1;2-0;2-1;0-0;2-0;1-2;1-1;2-0;0-1;2-5+;1-1;4-1;3-0;0-1;1-2;1-1;1-2;2-2;(45%)
 00;1-0;1-0;0-2;2-0;0-0;0-2;1-2;3-2;2-2;4-0;0-2;1-0;1-0;1-0;0-1;1-1;1-1;0-1;0-1;1-0;(45%)
 23;0-1;1-1;3-0;0-0;1-3;0-0;2-0;0-1;3-2;0-0;0-3;3-1;2-4;0-1;1-0;1-0;1-0;2-0;3-0;3-0;(40%)
 22;4-1;1-2;1-2;0-0;1-3;0-2;2-4;1-0;2-0;1-1;1-0;0-3;0-2;0-1;0-1;2-3;0-1;0-0;2-1;2-2;(40%)
 21;1-1;3-2;1-3;0-3;0-0;2-0;1-0;2-1;0-1;1-1;3-0;1-2;0-2;3-1;0-1;2-2;1-1;1-1;0-2;4-0;(60%)
 20;0-1;2-1;3-1;0-0;1-2;2-2;2-1;0-1;0-1;2-1;1-3;1-1;1-2;2-0;1-1;0-2;2-0;3-2;1-5+;1-1;(50%)
 19;0-1;0-1;1-1;1-0;2-2;2-1;2-1;0-0;4-1;0-1;2-0;1-1;1-1;3-1;0-0;1-3;1-1;1-0;2-2;0-1;(55%)
 18;1-3;2-2;1-0;1-0;0-0;0-2;1-0;0-1;0-1;0-0;2-1;1-1;2-4;1-2;1-1;3-0;2-1;2-0;0-0;0-1;(45%)
 17;3-0;3-2;1-1;0-2;1-1;2-0;2-3;2-2;2-2;0-0;1-2;3-1;3-1;3-0;0-1;3-1;1-1;1-1;1-0;1-0;(60%)
 16;1-2;1-1;0-2;1-1;2-1;1-0;1-1;3-1;1-1;0-2;3-2;2-4;1-3;0-1;1-0;0-3;2-2;0-2;1-1;3-2;(55%)
